stage,aggression,action,stake,play_style,hand_quality
flop,2.1762259999999998,calls,1.76226,average,0.80389
turn,3.22343,bets,2.2343,agressive,0.89372
turn,3.22343,calls,2.2343,average,0.74976
river,4.178283,bets,1.78283,agressive,0.71313
river,2.178283,folds,1.78283,average,0.51717
hole,1.1,calls,1.0,agressive,0.134
hole,1.1,calls,1.0,average,0.231
hole,-1.1,folds,1.0,safe,0.095
flop,0.248844,folds,2.48844,agressive,0.23404
flop,0.248844,folds,2.48844,average,0.57817
hole,1.1,calls,1.0,agressive,0.164
hole,1.1,calls,1.0,average,0.167
hole,1.1,calls,1.0,safe,0.279
flop,1.0,checks,0.0,agressive,0.31915
flop,1.0,checks,0.0,average,0.55597
flop,2.243525,bets,2.43525,safe,0.9741
flop,0.243525,folds,2.43525,agressive,0.31915
flop,0.243525,folds,2.43525,average,0.55597
hole,1.1,calls,1.0,agressive,0.16
hole,1.1,calls,1.0,average,0.24
hole,-1.1,folds,1.0,safe,0.117
flop,1.0,checks,0.0,agressive,0.31915
flop,2.183395,bets,1.83395,average,0.73358
flop,0.183395,folds,1.83395,agressive,0.31915
hole,1.1,calls,1.0,agressive,0.108
hole,1.1,calls,1.0,average,0.215
hole,-1.1,folds,1.0,safe,0.12
flop,0.163043,folds,1.63043,agressive,0.23404
flop,2.163043,calls,1.63043,average,0.98705
turn,3.245169,bets,2.45169,average,0.98068
hole,1.1,calls,1.0,agressive,0.156
hole,1.1,calls,1.0,average,0.175
hole,1.1,calls,1.0,safe,0.143
flop,2.229648,calls,2.29648,agressive,0.6938
flop,0.229648,folds,2.29648,average,0.54487
flop,0.229648,folds,2.29648,safe,0.78446
turn,1.200242,folds,2.00242,agressive,0.58937
hole,1.1764000000000001,bets,1.764,agressive,0.252
hole,-0.8236,folds,1.764,average,0.091
hole,-0.8236,folds,1.764,safe,0.135
flop,2.233349,calls,2.33349,agressive,0.9408
turn,3.215459,calls,2.15459,agressive,0.86957
river,4.181566,calls,1.81566,agressive,0.72626
hole,1.1,calls,1.0,agressive,0.189
hole,1.1,calls,1.0,average,0.169
hole,-1.1,folds,1.0,safe,0.096
flop,2.241674,calls,2.41674,agressive,0.92229
flop,2.241674,calls,2.41674,average,0.91489
turn,3.234058,calls,2.34058,agressive,0.80483
turn,3.234058,calls,2.34058,average,0.7971
river,4.225758,calls,2.25758,agressive,0.74343
river,4.225758,calls,2.25758,average,0.74343
hole,1.1,calls,1.0,agressive,0.175
hole,1.1,calls,1.0,average,0.137
hole,1.1,calls,1.0,safe,0.225
flop,0.176457,folds,1.76457,agressive,0.54487
flop,2.176457,calls,1.76457,average,0.98982
flop,2.176457,calls,1.76457,safe,0.82424
turn,3.245169,bets,2.45169,average,0.98068
turn,1.245169,folds,2.45169,safe,0.80193
hole,1.1,calls,1.0,agressive,0.151
hole,1.1,calls,1.0,average,0.135
hole,-1.1,folds,1.0,safe,0.117
flop,2.163043,calls,1.63043,agressive,0.96115
flop,0.163043,folds,1.63043,average,0.34135
turn,3.238406,bets,2.38406,agressive,0.95362
hole,1.1,calls,1.0,agressive,0.126
hole,1.1,calls,1.0,average,0.153
hole,-1.1,folds,1.0,safe,0.096
flop,2.1679,calls,1.679,agressive,0.6642
flop,2.1679,calls,1.679,average,0.679
turn,2.0,checks,0.0,agressive,0.53527
turn,2.0,checks,0.0,average,0.53913
river,2.0,checks,0.0,agressive,0.26465
river,3.207071,bets,2.07071,average,0.82828
river,1.207071,folds,2.07071,agressive,0.26465
hole,-1.1,folds,1.0,agressive,0.086
hole,-1.1,folds,1.0,average,0.096
hole,1.1,calls,1.0,safe,0.162
flop,2.163043,calls,1.63043,safe,0.90194
turn,3.150966,calls,1.50966,safe,0.77971
river,2.233333,folds,2.33333,safe,0.9303
hole,1.1,calls,1.0,agressive,0.114
hole,1.1,calls,1.0,average,0.137
hole,1.1,calls,1.0,safe,0.192
flop,2.231961,calls,2.31961,agressive,0.77428
flop,2.231961,calls,2.31961,average,0.98427
flop,0.231961,folds,2.31961,safe,0.33025
turn,3.224638,calls,2.24638,agressive,0.97198
turn,3.224638,calls,2.24638,average,0.96039
river,4.206313,calls,2.06313,agressive,0.9202
river,4.206313,calls,2.06313,average,0.89293
hole,-1.1,folds,1.0,agressive,0.086
hole,1.1,calls,1.0,average,0.194
hole,-1.1,folds,1.0,safe,0.132
flop,1.0,checks,0.0,average,0.55597
turn,1.0,checks,0.0,average,0.46087
river,1.0,checks,0.0,average,0.34444
hole,1.1,calls,1.0,agressive,0.128
hole,1.1,calls,1.0,average,0.181
hole,1.1,calls,1.0,safe,0.195
flop,1.0,checks,0.0,agressive,0.23034
flop,1.0,checks,0.0,average,0.36725
flop,1.0,checks,0.0,safe,0.40056
turn,1.0,checks,0.0,agressive,0.25217
turn,2.219807,bets,2.19807,average,0.87923
turn,0.219807,folds,2.19807,safe,0.87923
turn,0.219807,folds,2.19807,agressive,0.25217
hole,1.1421000000000001,bets,1.421,agressive,0.203
hole,-0.8579,folds,1.421,average,0.099
hole,-0.8579,folds,1.421,safe,0.134
flop,2.171369,calls,1.71369,agressive,0.85199
turn,3.232367,bets,2.32367,agressive,0.92947
hole,1.1,calls,1.0,agressive,0.114
hole,1.1,calls,1.0,average,0.133
hole,1.1,calls,1.0,safe,0.19
flop,1.0,checks,0.0,agressive,0.05643
flop,2.169981,bets,1.69981,average,0.67993
flop,2.169981,calls,1.69981,safe,0.9408
flop,0.169981,folds,1.69981,agressive,0.05643
turn,2.0,checks,0.0,average,0.51401
turn,3.211836,bets,2.11836,safe,0.84734
turn,1.211836,folds,2.11836,average,0.51401
hole,1.1554,bets,1.554,agressive,0.222
hole,1.1554,calls,1.554,average,0.21
hole,-0.8446,folds,1.554,safe,0.153
flop,1.0,checks,0.0,agressive,0.53006
flop,1.0,checks,0.0,average,0.50786
turn,1.0,checks,0.0,agressive,0.34493
turn,1.0,checks,0.0,average,0.34493
river,1.0,checks,0.0,agressive,0.36061
river,1.0,checks,0.0,average,0.36061
hole,1.1,calls,1.0,agressive,0.17
hole,1.1,calls,1.0,average,0.142
hole,1.1,calls,1.0,safe,0.173
flop,1.0,checks,0.0,agressive,0.31915
flop,1.0,checks,0.0,average,0.51156
flop,1.0,checks,0.0,safe,0.74653
turn,1.0,checks,0.0,agressive,0.33333
turn,2.211111,bets,2.11111,average,0.84444
turn,0.211111,folds,2.11111,safe,0.63285
turn,0.211111,folds,2.11111,agressive,0.33333
hole,1.1,calls,1.0,agressive,0.166
hole,1.1,calls,1.0,average,0.194
hole,1.1,calls,1.0,safe,0.201
flop,2.198427,bets,1.98427,agressive,0.79371
flop,2.198427,calls,1.98427,average,0.9445
flop,0.198427,folds,1.98427,safe,0.72248
turn,3.1915459999999998,bets,1.91546,agressive,0.76618
turn,3.1915459999999998,calls,1.91546,average,0.90048
river,4.232071,bets,2.32071,agressive,0.92828
river,4.232071,calls,2.32071,average,0.66566
hole,1.1624,bets,1.624,agressive,0.232
hole,1.1624,calls,1.624,average,0.18
hole,-0.8376,folds,1.624,safe,0.099
flop,2.17692,bets,1.7692,agressive,0.70768
flop,2.17692,calls,1.7692,average,0.83719
turn,2.0,checks,0.0,agressive,0.59227
turn,3.207246,bets,2.07246,average,0.82899
turn,1.207246,folds,2.07246,agressive,0.59227
hole,1.1428,bets,1.428,agressive,0.204
hole,1.1428,calls,1.428,average,0.185
hole,-0.8572,folds,1.428,safe,0.187
flop,0.230574,folds,2.30574,agressive,0.51156
flop,2.230574,calls,2.30574,average,0.99445
turn,3.216425,calls,2.16425,average,0.96039
river,4.175253,calls,1.75253,average,0.92121
hole,-1.1,folds,1.0,agressive,0.096
hole,1.1,calls,1.0,average,0.244
hole,1.1,calls,1.0,safe,0.19
flop,1.0,checks,0.0,average,0.57817
flop,1.0,checks,0.0,safe,0.35245
turn,1.0,checks,0.0,average,0.457
turn,1.0,checks,0.0,safe,0.25217
river,0.248232,folds,2.48232,average,0.34848
river,0.248232,folds,2.48232,safe,0.25051
hole,-1.1,folds,1.0,agressive,0.091
hole,1.1,calls,1.0,average,0.114
hole,-1.1,folds,1.0,safe,0.095
flop,0.17807599999999998,folds,1.78076,average,0.05643
hole,-1.1,folds,1.0,agressive,0.096
hole,1.1,calls,1.0,average,0.108
hole,1.1,calls,1.0,safe,0.167
flop,1.0,checks,0.0,average,0.09713
flop,1.0,checks,0.0,safe,0.51156
turn,0.183575,folds,1.83575,average,0.04348
turn,0.183575,folds,1.83575,safe,0.37585
